,awards,film,is_winner,url,winner(s),year
16,dga,The Age of Innocence,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,1993
17,dga,The Fugitive,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Andrew Davis,1993
18,dga,The Piano,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Jane Campion,1993
19,dga,The Remains of the Day,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,James Ivory,1993
20,dga,Forrest Gump,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Robert Zemeckis,1994
21,dga,Four Weddings and a Funeral,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Mike Newell,1994
22,dga,Pulp Fiction,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Quentin Tarantino,1994
23,dga,Quiz Show,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Robert Redford,1994
24,dga,The Shawshank Redemption,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Frank Darabont,1994
25,dga,Apollo 13,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ron Howard,1995
26,dga,Braveheart,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Mel Gibson,1995
27,dga,Il Postino: The Postman,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Michael Radford,1995
28,dga,Leaving Las Vegas,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Mike Figgis,1995
29,dga,Sense and Sensibility,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ang Lee,1995
30,dga,The English Patient,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Anthony Minghella,1996
31,dga,Fargo,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Joel Coen,1996
32,dga,Jerry Maguire,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Cameron Crowe,1996
33,dga,Secrets and Lies,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Mike Leigh,1996
34,dga,Shine,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Scott Hicks,1996
35,dga,Titanic,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,James Cameron,1997
36,dga,Amistad,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Spielberg,1997
37,dga,As Good as It Gets,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,James Brooks,1997
38,dga,Good Will Hunting,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Gus Van Sant,1997
39,dga,L.A. Confidential,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Curtis Hanson,1997
40,dga,Saving Private Ryan,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Spielberg,1998
41,dga,Life Is Beautiful,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Roberto Benigni,1998
42,dga,Shakespeare in Love,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,John Madden,1998
43,dga,The Thin Red Line,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Terrence Malick,1998
44,dga,The Truman Show,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Peter Weir,1998
45,dga,American Beauty,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Sam Mendes,1999
46,dga,Being John Malkovich,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Spike Jonze,1999
47,dga,The Green Mile,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Frank Darabont,1999
48,dga,The Insider,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Michael Mann,1999
49,dga,The Sixth Sense,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,M. Night Shyamalan,1999
50,dga,"Crouching Tiger, Hidden Dragon",True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ang Lee,2000
51,dga,Almost Famous,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Cameron Crowe,2000
52,dga,Erin Brockovich,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Soderbergh,2000
53,dga,Gladiator,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ridley Scott,2000
54,dga,Traffic,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Soderbergh,2000
55,dga,A Beautiful Mind,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ron Howard,2001
56,dga,Black Hawk Down,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ridley Scott,2001
57,dga,The Lord of the Rings: The Fellowship of the Ring,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Peter Jackson,2001
58,dga,Memento,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Christopher Nolan,2001
59,dga,Moulin Rouge!,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Baz Luhrmann,2001
60,dga,Chicago,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Rob Marshall,2002
61,dga,Gangs of New York,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,2002
62,dga,The Hours,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Stephen Daldry,2002
63,dga,The Lord of the Rings: The Two Towers,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Peter Jackson,2002
64,dga,The Pianist,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Roman Polanski,2002
65,dga,The Lord of the Rings: The Return of the King,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Peter Jackson,2003
66,dga,Lost in Translation,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Sofia Coppola,2003
67,dga,Master and Commander: The Far Side of the World,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Peter Weir,2003
68,dga,Mystic River,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Clint Eastwood,2003
69,dga,Seabiscuit,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Gary Ross,2003
70,dga,Million Dollar Baby,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Clint Eastwood,2004
71,dga,The Aviator,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,2004
72,dga,Finding Neverland,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Marc Forster,2004
73,dga,Ray,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Taylor Hackford,2004
74,dga,Sideways,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Alexander Payne,2004
75,dga,Brokeback Mountain,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ang Lee,2005
76,dga,Capote,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Bennett Miller,2005
77,dga,Crash,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Paul Haggis,2005
78,dga,"Good Night, and Good Luck",False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,George Clooney,2005
79,dga,Munich,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Spielberg,2005
80,dga,The Departed,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,2006
81,dga,Babel,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Alejandro González Iñárritu,2006
82,dga,Dreamgirls,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Bill Condon,2006
83,dga,Little Miss Sunshine,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Jonathan Dayton and Valerie Faris,2006
84,dga,The Queen,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Stephen Frears,2006
85,dga,No Country for Old Men,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Joel and Ethan Coen,2007
86,dga,The Diving Bell and the Butterfly,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Julian Schnabel,2007
87,dga,Into the Wild,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Sean Penn,2007
88,dga,Michael Clayton,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Tony Gilroy,2007
89,dga,There Will Be Blood,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Paul Thomas Anderson,2007
90,dga,Slumdog Millionaire,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Danny Boyle,2008
91,dga,The Curious Case of Benjamin Button,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,David Fincher,2008
92,dga,The Dark Knight,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Christopher Nolan,2008
93,dga,Frost/Nixon,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ron Howard,2008
94,dga,Milk,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Gus Van Sant,2008
95,dga,The Hurt Locker,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Kathryn Bigelow,2009
96,dga,Avatar,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,James Cameron,2009
97,dga,Inglourious Basterds,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Quentin Tarantino,2009
98,dga,Precious,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Lee Daniels,2009
99,dga,Up in the Air,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Jason Reitman,2009
100,dga,The King's Speech,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Tom Hooper,2010
101,dga,Black Swan,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Darren Aronofsky,2010
102,dga,The Fighter,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,David O. Russell,2010
103,dga,Inception,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Christopher Nolan,2010
104,dga,The Social Network,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,David Fincher,2010
105,dga,The Artist,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Michel Hazanavicius,2011
106,dga,The Descendants,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Alexander Payne,2011
107,dga,The Girl with the Dragon Tattoo,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,David Fincher,2011
108,dga,Hugo,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,2011
109,dga,Midnight in Paris,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Woody Allen,2011
110,dga,Argo,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ben Affleck,2012
111,dga,Les Misérables,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Tom Hooper,2012
112,dga,Life of Pi,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Ang Lee,2012
113,dga,Lincoln,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steven Spielberg,2012
114,dga,Zero Dark Thirty,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Kathryn Bigelow,2012
115,dga,Gravity,True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Alfonso Cuarón,2013
116,dga,12 Years a Slave,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Steve McQueen,2013
117,dga,American Hustle,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,David O. Russell,2013
118,dga,Captain Phillips,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Paul Greengrass,2013
119,dga,The Wolf of Wall Street,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Martin Scorsese,2013
120,dga,Birdman or (The Unexpected Virtue of Ignorance),True,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Alejandro G. Iñárritu,2014
121,dga,American Sniper,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Clint Eastwood,2014
122,dga,Boyhood,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Richard Linklater,2014
123,dga,The Grand Budapest Hotel,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Wes Anderson,2014
124,dga,The Imitation Game,False,https://en.wikipedia.org/wiki/Directors_Guild_of_America_Award_for_Outstanding_Directing_%E2%80%93_Feature_Film,Morten Tyldum,2014
125,pga_theatrical,Driving Miss Daisy,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Lili Fini Zanuck and Richard D. Zanuck,1989
126,pga_theatrical,Born on the Fourth of July,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,A. Kitman Ho and Oliver Stone,1989
127,pga_theatrical,Crimes and Misdemeanors,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Robert Greenhut,1989
128,pga_theatrical,Do the Right Thing,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Spike Lee,1989
129,pga_theatrical,Field of Dreams,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Lawrence Gordon and Charles Gordon,1989
130,pga_theatrical,Glory,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Freddie Fields,1989
131,pga_theatrical,The Little Mermaid,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,John Musker and Howard Ashman,1989
132,pga_theatrical,My Left Foot,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Noel Pearson,1989
133,pga_theatrical,"Sex, Lies, and Videotape",False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,John Hardy and Robert Newmyer,1989
134,pga_theatrical,When Harry Met Sally...,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Rob Reiner and Andrew Scheinman,1989
135,pga_theatrical,Dances with Wolves,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Jim Wilson and Kevin Costner,1990
136,pga_theatrical,Awakenings,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Walter F. Parkes and Lawrence Lasker,1990
137,pga_theatrical,Goodfellas,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Irwin Winkler,1990
138,pga_theatrical,The Grifters,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Martin Scorsese, Robert A. Harris, and Jim Painten",1990
139,pga_theatrical,Reversal of Fortune,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Edward R. Pressman and Oliver Stone,1990
140,pga_theatrical,The Silence of the Lambs,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Edward Saxon, Kenneth Utt, and Ronald M. Bozman",1991
141,pga_theatrical,Beauty and the Beast,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Don Hahn,1991
142,pga_theatrical,Boyz n the Hood,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Steven Nicolaides,1991
143,pga_theatrical,JFK,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,A. Kitman Ho and Oliver Stone,1991
144,pga_theatrical,Thelma & Louise,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Ridley Scott and Mimi Polk Gitlin,1991
145,pga_theatrical,The Crying Game,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Stephen Woolley,1992
146,pga_theatrical,A Few Good Men,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Rob Reiner, David Brown and Andrew Scheinman",1992
147,pga_theatrical,Howards End,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Ismail Merchant,1992
148,pga_theatrical,Scent of a Woman,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Martin Brest,1992
149,pga_theatrical,Unforgiven,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Clint Eastwood,1992
150,pga_theatrical,Schindler's List,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Steven Spielberg, Gerald R. Molen, and Branko Lustig",1993
151,pga_theatrical,The Fugitive,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Arnold Kopelson,1993
152,pga_theatrical,In the Name of the Father,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Jim Sheridan,1993
153,pga_theatrical,The Piano,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Jan Chapman,1993
154,pga_theatrical,The Remains of the Day,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Mike Nichols, John Calley, and Ismail Merchant",1993
155,pga_theatrical,Forrest Gump,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Wendy Finerman, Steve Tisch, and Steve Starkey",1994
156,pga_theatrical,The Lion King,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Don Hahn,1994
157,pga_theatrical,Pulp Fiction,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Lawrence Bender,1994
158,pga_theatrical,The Shawshank Redemption,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Niki Marvin,1994
159,pga_theatrical,Three Colors: Red,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Marin Karmitz,1994
160,pga_theatrical,Apollo 13,True,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,Brian Grazer,1995
161,pga_theatrical,Babe,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Bill Miller, George Miller, and Doug Mitchell",1995
162,pga_theatrical,Braveheart,False,https://en.wikipedia.org/wiki/Producers_Guild_of_America_Award_for_Best_Theatrical_Motion_Picture,"Mel Gibson, Alan Ladd, Jr., and Bruce Davey",1995
